191-noptp,191-unmanaged,191-ptp,203-noptp,203-unmanaged,203-ptp,234-noptp,234-unmanaged,234-ptp
8.394938650306749e-5,-0.0001127759885931559,5.865750273822563e-6,-0.00019722992351816444,-8.738024142312579e-5,7.088955823293172e-6,-0.0002699419953596288,-6.778209764918626e-5,7.749504950495049e-6
8.56914592760181e-5,-0.00011343122587968218,5.867240663900415e-6,-0.0002027596618357488,-8.765842349304482e-5,7.067796803652968e-6,-0.00027616761363636363,-6.842343485617598e-5,7.755669642857142e-6
8.758238636363636e-5,-0.00011408301470588236,5.88972503617945e-6,-0.000206780258519389,-8.745490981963927e-5,7.085882978723404e-6,-0.00028237637362637353,-6.912202380952382e-5,7.75552808988764e-6
8.940400232018562e-5,-0.00011481842679127726,5.885478662053057e-6,-0.00021196204735376045,-8.802602230483272e-5,7.076384928716904e-6,-0.00028984775641025624,-6.957810271041369e-5,7.769939393939394e-6
8.995588235294117e-5,-0.00011504855614973262,5.895970149253732e-6,-0.00021602250000000013,-8.882237813884785e-5,7.054723294723295e-6,-0.0002960654885654887,-6.948363431151241e-5,7.774925925925925e-6
9.187727272727272e-5,-0.00011480295774647888,5.867265135699374e-6,-0.00022149837133550497,-8.910250917992656e-5,7.09219281663516e-6,-0.000302290404040404,-6.989574468085106e-5,7.783767228177641e-6
9.363216266173753e-5,-0.00011489886336154776,5.8466897233201585e-6,-0.00022675061050061052,-8.88737922705314e-5,7.096532091097308e-6,-0.0003085113188976377,-7.060424242424243e-5,7.764587280108254e-6
9.5609375e-5,-0.00011547169565217392,5.844909326424871e-6,-0.00023065224358974367,-8.86513353115727e-5,7.076496350364963e-6,-0.00031598557692307677,-7.10375441696113e-5,7.732545454545454e-6
9.609208185053381e-5,-0.00011620413385826772,5.848681875792142e-6,-0.00023586652542372877,-8.895186640471513e-5,7.096421923474664e-6,-0.00032221207865168553,-7.167636986301369e-5,7.7489417989418e-6
9.809386973180076e-5,-0.00011664874396135266,5.842196078431373e-6,-0.0002412625250501003,-8.902849264705882e-5,7.136213389121338e-6,-0.00032843921389396724,-7.26229066985646e-5,7.78854271356784e-6
9.982298951048952e-5,-0.00011652177583697235,5.836336842105263e-6,-0.00024533653846153846,-8.908356449375866e-5,7.145327669902913e-6,-0.00033590707964601773,-7.30808615819209e-5,7.77965909090909e-6
0.0001018396529562982,-0.00011697766233766234,5.859954614220877e-6,-0.00025052108076009487,-9.061632536973834e-5,7.156849315068494e-6,-0.0003421297089041095,-7.349463007159905e-5,7.77534965034965e-6
0.00010232517482517482,-0.0001176277358490566,5.896059957173448e-6,-0.0002543963878326996,-9.140051395007342e-5,7.138924731182795e-6,-0.00034835199004975117,-7.316130298273155e-5,7.769792592592593e-6
0.0001043437900128041,-0.00011827302848575713,5.894478021978022e-6,-0.0002595589398734178,-9.221908315565033e-5,7.135821052631578e-6,-0.0003545719453376206,-7.31201754385965e-5,7.745111662531018e-6
0.00010607644991212655,-0.00011893101449275363,5.870846325167038e-6,-0.00026481510416666667,-9.256641221374046e-5,7.1424772313296905e-6,-0.00036204704510108855,-7.332808022922635e-5,7.782370936902485e-6
0.0001068496835443038,-0.00011944073684210526,5.856730964467005e-6,-0.00026892045454545463,-9.286389201349831e-5,7.152699822380107e-6,-0.00036827023988006,-7.373779069767442e-5,7.776835051546392e-6
0.00010860785198555956,-0.00011931122587968218,5.89497487437186e-6,-0.0002741308180535967,-9.34054462934947e-5,7.145698924731183e-6,-0.0003744945652173913,-7.439833574529666e-5,7.776314136125654e-6
0.00011061728395061729,-0.00011952605527638191,5.876656472986749e-6,-0.0002792708333333334,-9.425205761316873e-5,7.117969661610268e-6,-0.0003807165271966528,-7.510286935286936e-5,7.775538818076476e-6
0.00011241003787878788,-0.00012016373660030628,5.874368932038835e-6,-0.0002831189759036144,-9.483717774762551e-5,7.133030303030302e-6,-0.00038819313593539705,-7.552803308823529e-5,7.77115468409586e-6
0.00011313690476190476,-0.00012017262867647058,5.866078639744952e-6,-0.00028822415014164294,-9.537992376111817e-5,7.1365911431513895e-6,-0.00039441883116883114,-7.516467304625199e-5,7.772159090909091e-6
0.00011498493975903614,-0.00012088172043010753,5.856831059811123e-6,-0.0002933606902356901,-9.594481132075472e-5,7.153802395209581e-6,-0.00040064791403286964,-7.586114318706698e-5,7.760760626398211e-6
0.00011691151202749142,-0.0001215158352402746,5.857133757961784e-6,-0.0002973019547325103,-9.655383360522022e-5,7.157330462863294e-6,-0.0004081326970443351,-7.629159445407279e-5,7.74802995391705e-6
0.0001175929054054054,-0.00012216397689768978,5.865500588928151e-6,-0.00030255116959064326,-9.660928319623972e-5,7.166974789915966e-6,-0.0004143659855769231,-7.641954022988507e-5,7.758034482758621e-6
0.00011944004524886877,-0.00012287450980392157,5.847975113122172e-6,-0.0003077297185430463,-9.739919941775837e-5,7.144665792922674e-6,-0.0004205987762237761,-7.711432584269662e-5,7.789136302294197e-6
0.00012144979508196722,-0.0001233722095671982,5.854791666666667e-6,-0.0003116048034934498,-9.797982062780268e-5,7.1649751243781096e-6,-0.0004280837129840545,-7.754137931034483e-5,7.807332624867162e-6
0.00012323079231692677,-0.00012317095851216024,5.856175257731959e-6,-0.000316698885976409,-9.882357247437774e-5,7.182263450834879e-6,-0.0004343221046770602,-7.766761827079936e-5,7.765664414414414e-6
0.00012405092592592592,-0.0001231135447761194,5.846990972918756e-6,-0.00032176347305389237,-9.936976744186047e-5,7.191225806451613e-6,-0.0004405544469783353,-7.835876042908224e-5,7.760581395348836e-6
0.00012578667953667955,-0.0001236941257367387,5.866718266253869e-6,-0.00032556640625,-9.96644e-5,7.1678132118451025e-6,-0.00044678592289719627,-7.902126654064272e-5,7.744273504273504e-6
0.00012790222772277228,-0.00012441065052950077,5.865999999999999e-6,-0.00033060502958579875,-9.926089108910892e-5,7.165647321428571e-6,-0.0004542694610778443,-7.965177252584933e-5,7.74113785557987e-6
0.00012836456859971712,-0.00012498291284403668,5.873872472783826e-6,-0.0003356422305764411,-9.933738191632929e-5,7.146915789473684e-6,-0.00046050153374233146,-8.034720457433292e-5,7.74845498783455e-6
0.0001305003639010189,-0.00012520787021630614,5.865686274509804e-6,-0.00034067371202113595,-9.987764632627647e-5,7.148441396508729e-6,-0.00046672979797979805,-8.099061032863851e-5,7.755397923875433e-6
0.00013223472668810288,-0.00012524057996485063,5.8562091503267975e-6,-0.0003444598337950138,-0.00010042982456140351,7.133951367781154e-6,-0.00047420557717250326,-8.163721552878178e-5,7.767505446623094e-6
0.00013433699870633894,-0.0001256786479902558,5.8671488033298645e-6,-0.0003494906069364163,-0.00010027965328467154,7.146428571428572e-6,-0.0004804278523489931,-8.233193863319386e-5,7.766987577639751e-6
0.00013490583804143125,-0.00012631905866302865,5.8568410041841006e-6,-0.00035451492537313446,-0.00010059488341968912,7.14337726523888e-6,-0.0004866481223922115,-8.296185567010309e-5,7.766652806652806e-6
0.0001369101607347876,-0.00012668944214876032,5.826551373346897e-6,-0.0003595341257668712,-0.00010112718749999999,7.171346153846154e-6,-0.0004941040145985402,-8.362925598991173e-5,7.748872870249017e-6
0.00013891578947368421,-0.00012706629213483144,5.839652173913043e-6,-0.0003632982866043613,-0.00010117242833052276,7.168625162127107e-6,-0.0005002999226006192,-8.432008995502248e-5,7.753507936507936e-6
0.00013949451887941536,-0.0001277077341772152,5.853776758409786e-6,-0.00036830766192733,-0.00010050946215139442,7.142683823529412e-6,-0.0005064888797364085,-8.493456678700361e-5,7.785827814569537e-6
0.0001416157487091222,-0.00012806641414141415,5.8682843713278496e-6,-0.00037330893987341774,-0.00010032467057101026,7.147424568965517e-6,-0.0005126726398601397,-8.56141975308642e-5,7.827733333333333e-6
0.00014336200842696628,-0.0001284937234042553,5.879925925925927e-6,-0.0003783051181102362,-0.00010185966981132075,7.1558639308855295e-6,-0.0005200919811320754,-8.602472014925372e-5,7.818245192307693e-6
0.00014426185344827586,-0.0001291310777385159,5.885475372279496e-6,-0.00038250000000000003,-0.00010263486842105263,7.153877245508982e-6,-0.0005262525354969574,-8.664320728291315e-5,7.816371134020618e-6
0.00014601744186046512,-0.00012906950718685831,5.872288930581614e-6,-0.0003874447674418605,-0.0001031711185308848,7.153222591362127e-6,-0.0005323939732142858,-8.758064516129033e-5,7.824255319148936e-6
